Number,Gender,Age,Nationality,Leadership experience,Work experience in vt ,Work experience ,industry , rate the importance of trust towards a leader,rate the influence of incentives, knowledge and adaption of different cultural values,School system,Family life,Political system,Personal interests,Rate:Culture:Please rate the most challenges in virtual teams.,Rate:Trust:Please rate the most challenges in virtual teams.,Rate:Leadership:Please rate the most challenges in virtual teams.,Rate:Communication:Please rate the most challenges in virtual teams,Rate:Confidence,Rate:Demonstrate your abilitiy,Rate:Being goal oriented,Rate:Ability to quickly adapt,Rate:Being open-minded, important is punctuality
1,Male,31-40,Spanish,1-3 years,3-5 years,3-6 years,Consulting,7,8,10,School system,Family life,Political system,Personal interests,5,4,3,,3,2,5,5,5,8
2,Male,18-30,Spanish,1-3 years,No experience,3-6 years,Banking,10,8,8,School system,Family life,,Personal interests,2,3,2,,4,3,5,5,5,10
3,Female,18-30,Spanish,1-3 years,1-2 years,1-2 years,Consulting,10,8,6,School system,Family life,Political system,Personal interests,3,4,4,,3,3,3,3,2,7
4,Female,18-30,Polish,1-3 years,3-5 years,3-6 years,Management Consulting,10,10,10,School system,Family life,Political system,Personal interests,3,5,5,,5,4,5,5,5,8
5,Female,18-30,Spanish,1-3 years,1-2 years,1-2 years,Not applicable,10,7,10,,Family life,,Personal interests,4,4,4,,3,3,3,5,5,8
6,Female,18-30,Italian,1-3 years,3-5 years,3-6 years,Banking,10,8,10,,Family life,,,3,5,5,,3,3,3,5,5,8
7,Male,18-30,Mexican,No experience,3-5 years,3-6 years,Consulting,10,8,8,School system,Family life,,,1,1,1,,3,5,3,5,5,10
8,Male,31-40,Spanish,Not applicable,No experience,3-6 years,Consulting,8,9,9,School system,Family life,,Personal interests,4,5,3,,5,4,2,4,4,6
9,Female,31-40,Spanish,1-3 years,1-2 years,1-2 years,Travel,8,9,10,,Family life,,Personal interests,1,2,3,,3,3,4,4,5,9
10,Female,31-40,Spanish,No experience,1-2 years,3-6 years,HR,10,5,8,,,,,2,5,4,5,5,4,4,4,5,6
11,Male,18-30,Spanish,1-3 years,1-2 years,3-6 years,Consulting,6,6,7,,Family life,,Personal interests,3,4,4,,4,3,3,4,4,10
12,Female,31-40,American,9-15 years,6-10 years,7-10 years,Consulting,8,6,10,,Family life,Political system,Personal interests,4,3,3,,4,4,3,5,5,5
13,Female,18-30,Spanish,No experience,1-2 years,1-2 years,Consulting,9,6,7,School system,Family life,Political system,Personal interests,2,4,5,,4,3,2,2,3,6
14,Male,51-60,Catalan,16-24 years,11-15 years,+16 years,Digital Printing,10,8,9,School system,Family life,Political system,Personal interests,3,5,5,,3,3,4,4,5,
